Register,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,testFrameworks,Generate,Compile,Build
6014,true,"""monolith""","""session""","""hazelcast""","""no""","""no""","""sql""","""mysql""","""mysql""","""maven""","""no""",true,true,true,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6020,true,"""gateway""","""jwt""","""ehcache""","""hazelcast""","""spring-websocket""","""sql""","""mariadb""","""mariadb""","""maven""","""elasticsearch""",false,false,false,"[""cucumber"",""protractor"",""gatling""]",OK,OK,OK
6022,true,"""monolith""","""session""","""ehcache""","""no""","""spring-websocket""","""sql""","""mysql""","""mysql""","""maven""","""elasticsearch""",false,true,true,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
6027,true,"""gateway""","""jwt""","""ehcache""","""no""","""spring-websocket""","""sql""","""InMemory""","""mariadb""","""maven""","""elasticsearch""",false,true,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6029,true,"""gateway""","""jwt""","""ehcache""","""no""","""no""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",false,true,true,"[""protractor"",""gatling"",""cucumber""]",OK,OK,OK
6030,true,"""monolith""","""session""","""ehcache""","""no""","""no""","""sql""","""InMemory""","""mysql""","""maven""","""no""",true,true,true,"[""gatling"",""protractor"",""cucumber""]",OK,OK,OK
6031,true,"""monolith""","""session""","""hazelcast""","""no""","""no""","""sql""","""DiskBased""","""postgresql""","""maven""","""elasticsearch""",true,false,false,"[""protractor"",""cucumber"",""gatling""]",OK,OK,OK
6033,true,"""gateway""","""jwt""","""ehcache""","""hazelcast""","""no""","""sql""","""InMemory""","""postgresql""","""maven""","""no""",false,true,false,"[""gatling"",""cucumber"",""protractor""]",OK,OK,OK
6036,true,"""uaa""","""uaa""","""hazelcast""",ND,ND,"""sql""","""InMemory""","""postgresql""","""maven""","""no""",ND,ND,true,"[""gatling"",""cucumber""]",OK,OK,OK
6039,true,"""microservice""","""jwt""","""ehcache""",ND,ND,"""sql""","""InMemory""","""postgresql""","""maven""","""elasticsearch""",ND,ND,false,"[""cucumber"",""gatling""]",OK,OK,OK
